PrefTaxon	12543267.A01S66	28475012.A02S69	Gblock.A03S96	NTC.A04S28	POS.A05S23
Amphora inariensis	0	0	0	0	0
Amphora laevissima	0	0	0	0	0
Amphora lineolata	0	0	0	0	0
Amphora obtusa	0	0	0	0	0
Amphora (Other)	0	0	0	0	0
Amphora ovalis	9	0	0	0	124
Amphora ovalis var. libyca	0	0	0	0	0
Amphora ovalis var. pediculus	0	0	0	0	0
Amphora pediculus	105	82	0	0	51452
Amphora pediculus type	0	0	0	0	0
Amphora proteus	0	0	0	0	0
Amphora securicula	0	0	0	0	0
Amphora semperpalorum	0	0	0	0	0
Amphora subholsatica	0	0	0	0	0
Amphora sublaevis	0	0	0	0	0
Amphora sulcata	0	0	0	0	0
Amphora waldeniana	0	0	0	0	0
Aneumastus	0	0	0	0	0
Aneumastus stroesei	0	0	0	0	0
Aneumastus tusculus	0	0	0	0	0
Anomoeoneis brachysira	0	0	0	0	0
Anomoeoneis fogedii	0	0	0	0	0
Anomoeoneis follis	0	0	0	0	0
Anomoeoneis sculpta	0	0	0	0	0
Anomoeoneis sphaerophora	0	0	0	0	0
Anomoeoneis vitrea	0	0	0	0	0
Ardissonea baculus	0	0	0	0	0
Ardissonea formosa	0	0	0	0	0
Asterionella	0	0	0	0	0
Asterionella formosa	0	0	0	0	0
Asterionella ralfsii	0	0	0	0	0
Asteromphalus	0	0	0	0	0
Aulacoseira	0	0	0	0	0
Aulacoseira alpigena	0	0	0	0	0
Aulacoseira ambigua	0	0	0	0	0
Aulacoseira distans	0	0	0	0	0
Aulacoseira distans var. nivalis	0	0	0	0	0
Aulacoseira distans var. nivaloides	0	0	0	0	0
Aulacoseira granulata	0	0	0	0	0
Aulacoseira granulata var. angustissima	0	0	0	0	0
Aulacoseira islandica	0	0	0	0	0
Aulacoseira italica subsp. subarctica	0	0	0	0	0
Aulacoseira lacustris	0	0	0	0	0
Aulacoseira lirata var. alpigena	0	0	0	0	0
Aulacoseira lirata var. lirata	0	0	0	0	0
Aulacoseira perglabra	0	0	0	0	0
Aulacoseira perglabra var. florinae	0	0	0	0	0
Aulacoseira subarctica	0	0	0	0	0
Aulacoseira subarctica f. subborealis	0	0	0	0	0
Aulacoseira tethera	0	0	0	0	0
Aulacoseira valida	0	0	0	0	0
Bacillaria	0	0	0	0	0
Bacillaria paxillifer	0	0	0	0	0
Bacterosira bathyomphala	0	0	0	0	0
Bacterosira constricta	0	0	0	0	0
Berkeleya	0	0	0	0	0
Berkeleya rutilans	0	0	0	0	0
Biremis	0	0	0	0	0
Bleakeleya notata	0	0	0	0	0
Bolidomonas pacifica	0	0	0	0	0
Brachysira	0	0	0	0	0
Brachysira brebissonii	0	0	0	0	0
Brachysira brebissonii fo. thermalis	0	0	0	0	0
Brachysira follis	0	0	0	0	0
Brachysira intermedia	0	0	0	0	0
Brachysira microcephala	0	0	0	0	0
Brachysira neoexilis	0	0	0	0	0
Brachysira procera	0	0	0	0	0
Brachysira serians	0	0	0	0	0
Brachysira styriaca	0	0	0	0	0
Brachysira vitrea	0	0	0	0	0
Brachysira vitrea type	0	0	0	0	0
Brebissonia	0	0	0	0	0
Brebissonia lanceolata	82	2	0	0	114
Caloneis	0	0	0	0	0
Caloneis alpestris	0	0	0	0	0
Caloneis amphisbaena	0	0	0	0	0
Caloneis bacillaris	0	0	0	0	0
Caloneis bacillum	0	0	0	0	0
Caloneis bacillum var. lancettula	0	0	0	0	0
Caloneis budensis	0	0	0	0	0
Caloneis hyalina	0	0	0	0	0
Caloneis lauta	0	0	0	0	0
Caloneis lewisii	0	0	0	0	0
Caloneis limosa	0	0	0	0	0
Caloneis limosa var. lancettula	0	0	0	0	0
Caloneis molaris	0	0	0	0	0
Caloneis permagna	0	0	0	0	0
Caloneis schumanniana	0	0	0	0	0
Caloneis silicula	0	0	0	0	0
Caloneis silicula var. alpina	0	0	0	0	0
Caloneis subsalina	0	0	0	0	0
Caloneis tenuis	0	0	0	0	0
Caloneis undulata	0	0	0	0	0
Caloneis ventricosa	0	0	0	0	0
Campylodiscus	0	0	0	0	0
Campylodiscus clypeus	0	0	0	0	0
Campylodiscus hibernicus	0	0	0	0	0
Campylodiscus levanderi	0	0	0	0	0
Campylodiscus marginatus	0	0	0	0	0
Campylodiscus striatus	0	0	0	0	0
Catacombas gaillonii	0	0	0	0	0
Cavinula	0	0	0	0	0
Cavinula cocconeiformis	0	0	0	0	0
Cavinula jaernefeltii	0	0	0	0	0
Cavinula lacustris	0	0	0	0	0
Cavinula lapidosa	0	0	0	0	0
Cavinula pseudoscutiformis	0	0	0	0	0
Cavinula scutelloides	0	0	0	0	0
Cavinula variostriata	0	0	0	0	0
Centric diatoms	0	0	0	0	0
Centric undif.	0	0	0	0	0
Centronella	0	0	0	0	0
Centronella reicheltii	0	0	0	0	0
Chamaepinnularia soehrensis	0	0	0	0	0
Chamaepinnularia soehrensis var. hassiaca	0	0	0	0	0
Climaconeis riddleae	0	0	0	0	0
Climacosphenia	0	0	0	0	0
Cocconeis	0	0	0	0	0
Cocconeis diminuta	0	0	0	0	0
Cocconeis disculus	0	0	0	0	0
Cocconeis disculus var. diminuta	0	0	0	0	0
Cocconeis euglypta	0	0	0	0	0
Cocconeis lineata	0	0	0	0	0
Cocconeis neodiminuta	0	0	0	0	0
Cocconeis neothumensis	0	0	0	0	0
Cocconeis pediculus	395	38	0	0	789
Cocconeis placentula	2722	4717	0	0	1252
Cocconeis placentula agg.	0	0	0	0	0
Cocconeis placentula var. klinoraphis	0	0	0	0	0
Cocconeis pseudolineata	0	0	0	0	0
Cocconeis pseudothumensis	0	0	0	0	0
Cocconeis scutellum	0	0	0	0	0
Cocconeis stauroneiformis	0	0	0	0	0
Conticribra	0	0	0	0	0
Conticribra weissflogii	0	4	0	0	0
Coscinodiscus	0	0	0	0	0
Coscinodiscus concinnus	0	0	0	0	0
Coscinodiscus granii	0	0	0	0	0
Coscinodiscus jonesianus	0	0	0	0	0
Coscinodiscus radiatus	0	0	0	0	0
Coscinodiscus wailesii	0	0	0	0	0
Cosmioneis	0	0	0	0	0
Cosmioneis pusilla	0	0	0	0	0
Craticula	0	0	0	0	0
Craticula accomoda	0	0	0	0	0
Craticula ambigua	0	0	0	0	0
Craticula buderi	0	0	0	0	0
Craticula cuspidata	0	0	0	0	0
Craticula halophila	0	0	0	0	0
Craticula halophilioides	0	0	0	0	0
Craticula importuna	41	45	0	0	0
Craticula minusculoides	0	0	0	0	0
Craticula molestiformis	0	0	0	0	165
Craticula subminuscula	0	8	0	0	452
Craticula submolesta	0	0	0	0	0
Craticula vixvisibilis	0	0	0	0	0
Ctenophora pulchella	0	0	0	0	0
Cyclophora	0	0	0	0	0
Cyclophora tenuis	0	0	0	0	0
Cyclostephanos	0	0	0	0	0
Cyclostephanos dubius	0	0	0	0	0
Cyclostephanos invisitatus	0	0	0	0	0
Cyclostephanos tholiformis	0	0	0	0	0
Cyclotella	0	0	0	0	0
Cyclotella atomus	0	0	0	0	0
Cyclotella bodanica	0	0	0	0	0
Cyclotella bodanica var. affinis	0	0	0	0	0
Cyclotella choctawhatcheeana	0	0	0	0	0
Cyclotella comensis	0	0	0	0	0
Cyclotella cryptica	0	0	0	0	0
Cyclotella cyclopuncta	0	0	0	0	0
Cyclotella distinguenda	0	0	0	0	0
Cyclotella distinguenda var. unipunctata	0	0	0	0	0
Cyclotella gamma	0	0	0	0	0
Cyclotella glomerata	0	0	0	0	0
Cyclotella gordonensis	0	0	0	0	0
Cyclotella krammeri	0	0	0	0	0
Cyclotella kuetzingiana	0	0	0	0	0
Cyclotella litoralis	0	0	0	0	0
Cyclotella meneghiniana	0	10	0	0	0
Cyclotella ocellata	0	0	0	0	0
Cyclotella praetermissa	0	0	0	0	0
Cyclotella radiosa	0	0	0	0	0
Cyclotella rossii	0	0	0	0	0
Cyclotella stelligera	0	0	0	0	0
Cyclotella striata	0	0	0	0	0
Cyclotella stylorum	0	0	0	0	0
Cylindrotheca	0	0	0	0	0
Cylindrotheca closterium	0	0	0	0	0
Cymatopleura	0	0	0	0	0
Cymatopleura elliptica	19	3	0	0	183
Cymatopleura elliptica var. constricta	0	0	0	0	0
Cymatopleura elliptica var. hibernica	0	0	0	0	0
Cymatopleura solea	15	0	0	0	6
Cymatopleura solea var. apiculata	0	0	0	0	0
Cymbella	11	0	0	0	0
Cymbella aequalis	0	0	0	0	0
Cymbella affinis	0	0	0	0	0
Cymbella amphicephala	0	0	0	0	0
Cymbella ancyli	0	0	0	0	0
Cymbella aspera	0	0	0	0	0
Cymbella baicalensis	22	117	0	0	0
Cymbella brehmii	0	0	0	0	0
Cymbella caespitosa	0	0	0	0	0
Cymbella cesatii	0	0	0	0	0
Cymbella cistula	1	0	0	0	0
